blocker_position(mm),voltage(V),,,,,,커지는방향 5.68mm
6,9,,,,,,
5.95,9,,,,,,
5.9,10,,,,,,
5.85,9,,,,,,
5.8,9,,,,,,
5.75,9,,,,,,
5.7,9,,,,,,
5.65,10,,,,,,
5.6,226,,,,,,
5.55,556,,,,,,
5.5,681,,,,,,
5.45,672,,,,,,
5.4,666,,,,,,
5.35,672,,,,,,
5.3,690,,,,,,
5.25,600,,,,,,
5.2,987,,,,,,
5.15,1682,,,,,,
5.1,1784,,,,,,
5.05,1726,,,,,,
5,1714,,,,,,
4.95,1718,,,,,,
4.9,1719,,,,,,
4.85,1721,,,,,,
4.8,1721,,,,,,
4.75,1723,,,,,,
4.7,1724,,,,,,
4.65,1726,,,,,,
4.6,1727,,,,,,
4.55,1728,,,,,,
4.5,1728,,,,,,
4.45,1732,,,,,,
4.4,1731,,,,,,
4.35,1732,,,,,,
4.3,1732,,,,,,
4.25,1731,,,,,,
4.2,1737,,,,,,
4.15,1738,,,,,,
4.1,1740,,,,,,
4.05,1741,,,,,,
4,1742,,,,,,
3.95,1745,,,,,,
3.9,1722,,,,,,
3.85,1821,,,,,,
3.8,996,,,,,,
3.75,723,,,,,,
3.7,706,,,,,,
3.65,652,,,,,,
3.6,656,,,,,,
3.55,657,,,,,,
3.5,664,,,,,,
3.45,701,,,,,,
3.4,520,,,,,,
3.35,51,,,,,,
3.3,9,,,,,,
3.25,9,,,,,,
3.2,9,,,,,,
3.15,9,,,,,,
3.1,,,,,,,
3.05,,,,,,,
3,,,,,,,
