detector_position(mm),voltage(V)
1,89
1.05,89
1.1,89
1.15,90
1.2,89
1.25,89
1.3,89
1.35,89
1.4,90
1.45,89
1.5,89
1.55,94
1.6,100
1.65,115
1.7,132
1.75,143
1.8,148
1.85,146
1.9,134
1.95,113
2,95
2.05,89
2.1,87
2.15,86
2.2,86
2.25,87
2.3,106
2.35,168
2.4,248
2.45,340
2.5,423
2.55,512
2.6,599
2.65,645
2.7,674
2.75,665
2.8,623
2.85,566
2.9,501
2.95,421
3,318
3.05,250
3.1,214
3.15,214
3.2,267
3.25,373
3.3,518
3.35,688
3.4,818
3.45,1017
3.5,1219
3.55,1374
3.6,1483
3.65,1556
3.7,1563
3.75,1512
3.8,1413
3.85,1281
3.9,1139
3.95,969
4,832
4.05,736
4.1,682
4.15,694
4.2,796
4.25,915
4.3,1075
4.35,1241
4.4,1478
4.45,1723
4.5,1940
4.55,2124
4.6,2213
4.65,2267
4.7,2244
4.75,2165
4.8,2014
4.85,1869
4.9,1688
4.95,1487
5,1315
5.05,1183
5.1,1089
5.15,1046
5.2,1070
5.25,1135
5.3,1270
5.35,1398
5.4,1571
5.45,1768
5.5,1951
5.55,2072
5.6,2148
5.65,2175
5.7,2141
5.75,1994
5.8,1806
5.85,1634
5.9,1437
5.95,1284
6,1117
6.05,973
6.1,1015
6.15,941
6.2,865
6.25,842
6.3,853
6.35,910
6.4,976
6.45,1047
6.5,1134
6.55,1190
6.6,1243
6.65,1275
6.7,1270
6.75,1231
6.8,1161
6.85,1101
6.9,1003
6.95,875
7,766
7.05,639
7.1,543
7.15,455
7.2,378
7.25,325
7.3,284
7.35,266
7.4,263
7.45,279
7.5,295
7.55,294
7.6,298
7.65,276
7.7,214
7.75,156
7.8,146
7.85,152
7.9,180
7.95,224
8,258
8.05,309
8.1,351
8.15,392
8.2,434
8.25,464
8.3,497
8.35,518
8.4,541
8.45,566
8.5,595
8.55,620
8.6,647
8.65,695
8.7,744
8.75,799
8.8,858
8.85,914
8.9,985
8.95,1038
9,1099
9.05,
9.1,
