detector_position,count,
5.9,70,
5.9,78,
5.95,60,
5.95,49,
5.95,46,
5.95,46,
5.95,46,
6,38,
6,31,
6,44,
6,31,
6,30,
6.05,25,
6.05,16,
6.05,27,
6.05,16,
6.05,20,
6.1,14,
6.1,14,
6.1,12,
6.1,20,
6.1,21,
6.15,22,
6.15,18,
6.15,17,
6.15,12,
6.15,25,
6.2,25,
6.2,38,
6.2,32,
6.2,32,
6.2,29,
6.25,39,
6.25,37,
6.25,27,
6.25,36,
6.25,33,
6.3,52,
6.3,58,
6.3,45,
6.3,54,
6.3,53,
6.35,59,
6.35,49,
6.35,60,
6.35,50,
6.35,57,
6.4,51,
6.4,53,
6.4,65,
6.4,61,
6.4,53,
6.45,62,
6.45,65,
6.45,58,
6.45,63,
6.45,49,
6.5,43,
6.5,40,
6.5,61,
6.5,64,
6.5,66,
6.55,51,
6.55,55,
6.55,58,
6.55,44,
6.55,54,
6.6,45,
6.6,40,
6.6,45,
6.6,47,
6.6,46,
6.65,43,
6.65,30,
6.65,47,
6.65,49,
6.65,50,
6.7,31,
6.7,30,
6.7,37,
6.7,48,
6.7,31,
6.75,20,
6.75,40,
6.75,15,
6.75,35,
6.75,33,
6.8,28,
6.8,24,
6.8,17,
6.8,22,
6.8,18,
6.85,22,
6.85,14,
6.85,14,
6.85,12,
6.85,16,
6.9,14,
6.9,16,
6.9,12,
6.9,12,
6.9,11,
6.95,13,
6.95,16,
6.95,7,
6.95,20,
6.95,18,
7,17,
7,13,
7,21,
7,13,
7,8,
7.05,22,
7.05,12,
7.05,21,
7.05,13,
7.05,17,
7.1,23,
7.1,28,
7.1,14,
7.1,25,
7.1,15,
7.15,18,
7.15,10,
7.15,23,
7.15,17,
7.15,18,
7.2,25,
7.2,15,
7.2,22,
7.2,26,
7.2,21,
7.25,12,
7.25,20,
7.25,10,
7.25,20,
7.25,20,
7.3,19,
7.3,14,
7.3,14,
7.3,12,
7.3,12,
7.35,17,
7.35,17,
7.35,16,
7.35,18,
7.35,15,
7.4,12,
7.4,11,
7.4,12,
7.4,10,
7.4,17,
7.45,9,
7.45,15,
7.45,18,
7.45,10,
7.45,10,
7.5,12,
7.5,10,
7.5,11,
7.5,9,
7.5,7,
7.55,6,
7.55,6,
7.55,6,
7.55,8,
7.55,5,
7.6,10,
7.6,5,
7.6,12,
7.6,11,
7.6,14,
7.65,11,
7.65,5,
7.65,4,
7.65,4,
7.65,14,
7.7,7,
7.7,7,
7.7,5,
7.7,4,
7.7,1,
7.75,5,
7.75,7,
7.75,5,
7.75,3,
7.75,4,
7.8,6,
7.8,9,
7.8,4,
7.8,3,
7.8,3,
7.85,12,
7.85,6,
7.85,7,
7.85,10,
7.85,6,
7.9,5,
7.9,7,
7.9,11,
7.9,3,
7.9,1,
7.95,3,
7.95,8,
7.95,3,
7.95,8,
7.95,12,
8,4,
8,8,
8,7,
8,5,
8,2,
8.05,6,
8.05,10,
8.05,5,
8.05,7,
8.05,6,
8.1,8,
8.1,11,
8.1,6,
8.1,5,
8.1,11,
8.15,12,
8.15,4,
8.15,10,
8.15,9,
8.15,10,
8.2,14,
8.2,13,
8.2,13,
8.2,12,
8.2,9,
8.25,16,
8.25,17,
8.25,16,
8.25,25,
8.25,18,
8.3,32,
8.3,23,
8.3,38,
8.3,24,
8.3,23,
8.35,29,
8.35,27,
8.35,31,
8.35,29,
8.35,5,
8.4,34,
8.4,35,
8.4,42,
8.4,35,
8.4,35,
8.45,45,
8.45,44,
8.45,36,
8.45,35,
8.45,47,
8.5,59,
8.5,60,
8.5,43,
8.5,48,
8.5,44,
8.55,67,
8.55,61,
8.55,66,
8.55,61,
8.55,63,
8.6,73,
8.6,71,
8.6,52,
8.6,74,
8.6,68,
8.65,65,
8.65,77,
8.65,70,
8.65,65,
8.65,61,
8.7,87,
8.7,82,
8.7,62,
8.7,79,
8.7,67,
8.75,95,
8.75,65,
8.75,87,
8.75,73,
8.75,73,
8.8,98,
8.8,91,
8.8,84,
8.8,94,
8.8,97,
8.85,93,
8.85,106,
8.85,85,
8.85,92,
8.85,104,
8.9,100,
8.9,92,
8.9,77,
8.9,117,
8.9,120,
8.95,108,
8.95,116,
8.95,111,
8.95,99,
8.95,96,
9,123,
9,122,
9,102,
9,108,
9,109,
